split,tid,fid,text,tokens
clotho_development,xDrslX7xFEQ=,NDZfpCpbykE=,A muddled noise of broken channel of the TV,"['a', 'muddled', 'noise', 'of', 'broken', 'channel', 'of', 'the', 'tv']"
clotho_development,Y4q5sempF9Y=,NDZfpCpbykE=,A television blares the rhythm of a static TV.,"['a', 'television', 'blares', 'the', 'rhythm', 'of', 'a', 'static', 'tv']"
clotho_development,iVX-LnsU8rg=,NDZfpCpbykE=,Loud television static dips in and out of focus,"['loud', 'television', 'static', 'dips', 'in', 'and', 'out', 'of', 'focus']"
clotho_development,WpwweVBklT4=,NDZfpCpbykE=,The loud buzz of static constantly changes pitch and volume.,"['the', 'loud', 'buzz', 'of', 'static', 'constantly', 'changes', 'pitch', 'and', 'volume']"
clotho_development,9KVx6q9LFdE=,NDZfpCpbykE=,heavy static and the beginnings of a signal on a transistor radio,"['heavy', 'static', 'and', 'the', 'beginnings', 'of', 'a', 'signal', 'on', 'a', 'transistor', 'radio']"
clotho_development,VKkpbR6qZg4=,vzo7-y6ox8E=,A person is turning a map over and over.,"['a', 'person', 'is', 'turning', 'a', 'map', 'over', 'and', 'over']"
clotho_development,WL5wMlxbZVQ=,vzo7-y6ox8E=,A person is very carefully rapping a gift for someone else.,"['a', 'person', 'is', 'very', 'carefully', 'rapping', 'a', 'gift', 'for', 'someone', 'else']"
clotho_development,L4Lm6ewAYKQ=,vzo7-y6ox8E=,A person is very carefully wrapping a gift for someone else.,"['a', 'person', 'is', 'very', 'carefully', 'wrapping', 'a', 'gift', 'for', 'someone', 'else']"
clotho_development,oN6_kr3c3tg=,vzo7-y6ox8E=,"He sighed as he turned the pages of the book, stopping to scan the information.","['he', 'sighed', 'as', 'he', 'turned', 'the', 'pages', 'of', 'the', 'book', 'stopping', 'to', 'scan', 'the', 'information']"
clotho_development,pzX32VXEDcY=,vzo7-y6ox8E=,"papers are being turned, stopped, then turned again and someone is breathing.","['papers', 'are', 'being', 'turned', 'stopped', 'then', 'turned', 'again', 'and', 'someone', 'is', 'breathing']"
clotho_development,bzSl_NmbF9U=,sQhiKN5GLIc=,Several barnyard animals mooing in a barn while it rains outside.,"['several', 'barnyard', 'animals', 'mooing', 'in', 'a', 'barn', 'while', 'it', 'rains', 'outside']"
clotho_development,BtrLliy25c8=,sQhiKN5GLIc=,"The vocalization of several whales, along with the clicking of large numbers of shrimp, reverberated below in the water.","['the', 'vocalization', 'of', 'several', 'whales', 'along', 'with', 'the', 'clicking', 'of', 'large', 'numbers', 'of', 'shrimp', 'reverberated', 'below', 'in', 'the', 'water']"
clotho_development,BF8AAFrRnDk=,sQhiKN5GLIc=,"Underwater, large numbers of shrimp clicking and several whales vocalizing.","['underwater', 'large', 'numbers', 'of', 'shrimp', 'clicking', 'and', 'several', 'whales', 'vocalizing']"
clotho_development,HPmYK4OEmtM=,sQhiKN5GLIc=,Whales sing to one another over the flowing water in the distance.,"['whales', 'sing', 'to', 'one', 'another', 'over', 'the', 'flowing', 'water', 'in', 'the', 'distance']"
clotho_development,aH0mFzZxU4s=,sQhiKN5GLIc=,whales sing to one another with water flowing in the background,"['whales', 'sing', 'to', 'one', 'another', 'with', 'water', 'flowing', 'in', 'the', 'background']"
clotho_development,n9uplMNt4qA=,YIdDi5uUI5o=,An office chair is squeaking as someone bends back and forth in it.,"['an', 'office', 'chair', 'is', 'squeaking', 'as', 'someone', 'bends', 'back', 'and', 'forth', 'in', 'it']"
clotho_development,M8AtaH6yRTU=,YIdDi5uUI5o=,Popping and squeaking gradually tapers off to a low level.,"['popping', 'and', 'squeaking', 'gradually', 'tapers', 'off', 'to', 'a', 'low', 'level']"
clotho_development,MvgQ8gSIoHU=,YIdDi5uUI5o=,Someone is opening a creaky door slowly while a dog barks in the background,"['someone', 'is', 'opening', 'a', 'creaky', 'door', 'slowly', 'while', 'a', 'dog', 'barks', 'in', 'the', 'background']"
clotho_development,VinmkA4Bins=,YIdDi5uUI5o=,Squeaking and popping followed by gradual popping and tapering off.,"['squeaking', 'and', 'popping', 'followed', 'by', 'gradual', 'popping', 'and', 'tapering', 'off']"
clotho_development,kE_kgOIMouc=,YIdDi5uUI5o=,an office chair is squeaking as someone leans forward and backward in it,"['an', 'office', 'chair', 'is', 'squeaking', 'as', 'someone', 'leans', 'forward', 'and', 'backward', 'in', 'it']"
clotho_development,1qj-1Nkb0WI=,5dNOe97I2Lc=,A flying bee is buzzing loudly around an object and its wing hits it.,"['a', 'flying', 'bee', 'is', 'buzzing', 'loudly', 'around', 'an', 'object', 'and', 'its', 'wing', 'hits', 'it']"
clotho_development,HvWPGR8GmxU=,5dNOe97I2Lc=,An annoying fly is buzzing loudly and consistently.,"['an', 'annoying', 'fly', 'is', 'buzzing', 'loudly', 'and', 'consistently']"
clotho_development,RhGiisAlPFM=,5dNOe97I2Lc=,An insect buzzing in the foreground as birds chirp in the background.,"['an', 'insect', 'buzzing', 'in', 'the', 'foreground', 'as', 'birds', 'chirp', 'in', 'the', 'background']"
clotho_development,ljVmCbwC85I=,5dNOe97I2Lc=,"An insect trapped in a spider web struggles, breaks free and flies away.","['an', 'insect', 'trapped', 'in', 'a', 'spider', 'web', 'struggles', 'breaks', 'free', 'and', 'flies', 'away']"
clotho_development,qzXmioAkhHw=,5dNOe97I2Lc=,"Outdoors, insect trapped in a spider web and then breaks loose and flies away.","['outdoors', 'insect', 'trapped', 'in', 'a', 'spider', 'web', 'and', 'then', 'breaks', 'loose', 'and', 'flies', 'away']"
clotho_development,lv_7C8PHiZU=,Er4lgJsggHw=,A bow playing a stringed instrument in a one note tone repeatedly before violins join to create the melody.,"['a', 'bow', 'playing', 'a', 'stringed', 'instrument', 'in', 'a', 'one', 'note', 'tone', 'repeatedly', 'before', 'violins', 'join', 'to', 'create', 'the', 'melody']"
clotho_development,DAQXViU5_CU=,Er4lgJsggHw=,A low stringed instrument drones a steady tone and is eventually joined by violins.,"['a', 'low', 'stringed', 'instrument', 'drones', 'a', 'steady', 'tone', 'and', 'is', 'eventually', 'joined', 'by', 'violins']"
clotho_development,gsfM8R0TFS0=,Er4lgJsggHw=,A large stringed instrument and a pair of violins are playing.,"['a', 'large', 'stringed', 'instrument', 'and', 'a', 'pair', 'of', 'violins', 'are', 'playing']"
clotho_development,sLINPyGgBag=,Er4lgJsggHw=,A musical instrument creates a tune and is followed by other instruments.,"['a', 'musical', 'instrument', 'creates', 'a', 'tune', 'and', 'is', 'followed', 'by', 'other', 'instruments']"
clotho_development,_aXhSv7joI8=,Er4lgJsggHw=,An orchestra practicing for an upcoming concert in an enclosed room.,"['an', 'orchestra', 'practicing', 'for', 'an', 'upcoming', 'concert', 'in', 'an', 'enclosed', 'room']"
clotho_development,4OTbykGkOAs=,cd_nMERK42c=,"As thunder claps far in the distance, the rain pours down.","['as', 'thunder', 'claps', 'far', 'in', 'the', 'distance', 'the', 'rain', 'pours', 'down']"
clotho_development,D-gncwHU45s=,cd_nMERK42c=,Rain pours down and thunder claps far in the distance.,"['rain', 'pours', 'down', 'and', 'thunder', 'claps', 'far', 'in', 'the', 'distance']"
clotho_development,5Z23SUkXg7g=,cd_nMERK42c=,Substantial rain and wind are pouring and spouting around and thunder is available.,"['substantial', 'rain', 'and', 'wind', 'are', 'pouring', 'and', 'spouting', 'around', 'and', 'thunder', 'is', 'available']"
clotho_development,FLUF-PKBq6o=,cd_nMERK42c=,The rain falls down the thunder is rumbling as someone is pounding and a car passes.,"['the', 'rain', 'falls', 'down', 'the', 'thunder', 'is', 'rumbling', 'as', 'someone', 'is', 'pounding', 'and', 'a', 'car', 'passes']"
clotho_development,IoWFEN_HLc8=,cd_nMERK42c=,"The rain falls down while someone is pounding, a car passes by and the thunder is rumbling","['the', 'rain', 'falls', 'down', 'while', 'someone', 'is', 'pounding', 'a', 'car', 'passes', 'by', 'and', 'the', 'thunder', 'is', 'rumbling']"
clotho_development,Suut_xfZvOY=,W0kQwnbVclE=,Something goes round that is playing its song.,"['something', 'goes', 'round', 'that', 'is', 'playing', 'its', 'song']"
clotho_development,np00trKAuuo=,W0kQwnbVclE=,"At the fair, music is playing near a carousel through the speaker.","['at', 'the', 'fair', 'music', 'is', 'playing', 'near', 'a', 'carousel', 'through', 'the', 'speaker']"
